,x_1,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_22,x_23,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,T,Y,x_2_A,x_2_B,x_2_C,x_2_D,x_2_E,x_2_F,x_21_A,x_21_B,x_21_C,x_21_D,x_21_E,x_21_F,x_21_G,x_21_H,x_21_I,x_21_J,x_21_K,x_21_L,x_21_M,x_21_N,x_21_O,x_21_P,x_24_A,x_24_B,x_24_C,x_24_D,x_24_E,scores
29,26,15.0,10.0,62,140,0,0,0,0,0,0,0,0,1,0,0,9,45,14,1,40,16,60,153,27,8,0,0,0,0,78,34,360,70,0,8,8,2,0,7,66,22,0,0,0,0,0,0,0,0,0,0,0,45,40,1,16.459300682718197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
30,24,0.0,0.0,68,130,0,0,2,0,0,0,0,0,0,1,0,12,55,5,1,77,14,60,150,25,12,0,0,0,0,78,27,600,58,1,9,9,2,0,11,57,18,0,0,0,0,0,0,0,0,0,0,0,47,42,1,15.4126395324241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
31,25,20.0,6.0,65,165,0,0,0,0,0,2,0,0,0,0,0,10,85,12,1,60,11,70,171,29,10,0,0,0,0,83,37,450,61,1,9,9,2,0,9,66,20,0,0,0,0,0,0,0,0,0,0,0,46,38,1,18.9123063156066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
32,23,10.0,8.0,61,110,0,1,0,0,0,0,1,1,2,0,0,7,45,20,1,40,13,52,139,26,7,0,0,0,0,80,34,430,57,1,9,10,0,2,4,49,14,0,0,0,0,0,0,0,0,0,0,0,48,42,1,12.5931310961488,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
33,39,30.0,19.0,67,182,0,0,0,0,0,0,1,0,0,0,0,12,75,18,1,40,15,60,188,43,9,0,0,0,0,81,30,575,53,1,9,9,2,0,5,57,19,0,0,0,0,0,0,0,0,0,0,0,47,40,1,12.5708685208161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
34,27,1.0,12.0,65,135,0,0,0,1,0,0,1,0,0,1,0,10,75,17,1,70,11,60,163,38,12,0,1,0,0,84,32,490,72,0,9,9,2,0,1,69,22,0,0,0,0,0,0,0,0,0,0,0,46,42,1,19.1458464672003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
35,30,10.0,16.0,65,145,2,0,1,0,0,1,1,0,0,0,1,13,85,15,1,73,11,80,168,40,12,0,1,0,0,78,32,620,87,1,9,10,2,0,2,56,18,0,0,0,0,0,0,0,0,0,0,0,46,42,1,19.8070591934905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
36,28,10.0,11.0,64,127,0,3,0,0,0,0,0,0,0,0,0,12,45,12,1,60,12,56,161,30,12,0,0,0,0,80,37,500,58,0,7,9,3,0,9,51,15,0,0,0,0,0,0,0,0,0,0,0,46,41,1,17.6458815164312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
37,33,0.0,0.0,64,145,0,0,0,0,0,0,1,0,0,1,0,12,55,10,1,80,12,78,168,35,12,1,1,0,0,31,12,200,43,0,4,8,6,0,4,58,16,5,1,0,1,0,0,0,1,1,0,3,45,37,1,14.0391269924506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
38,33,0.0,0.0,64,145,0,0,0,0,0,0,1,0,0,1,0,12,55,10,1,80,12,78,168,35,12,1,1,0,0,21,15,400,41,0,2,8,2,0,7,52,16,0,0,0,1,0,0,0,0,0,0,1,46,37,1,9.985829524864581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
39,25,10.0,8.0,63,97,0,0,0,0,0,0,1,1,1,0,0,9,45,13,1,40,13,80,130,26,8,0,0,0,0,78,32,500,46,1,8,9,3,0,1,54,16,0,0,0,0,0,0,0,0,0,0,0,45,42,1,11.1627638061417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
40,27,0.0,0.0,64,124,0,0,0,0,0,1,1,0,1,0,0,9,45,10,1,53,14,90,142,29,12,0,2,0,0,84,34,510,75,0,9,9,2,0,14,59,17,0,0,0,0,0,0,0,0,0,0,0,45,41,1,18.0373714349902,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
41,28,0.0,0.0,58,140,0,0,0,0,0,0,1,0,0,0,0,12,35,10,1,53,13,70,158,33,12,0,1,0,0,83,38,500,57,1,8,8,2,0,6,49,14,0,0,0,0,0,0,0,0,0,0,0,46,38,1,15.811522590492698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0
42,29,4.0,5.0,62,140,0,0,1,0,0,0,1,0,0,0,0,13,65,15,1,57,13,80,130,31,11,0,0,0,0,82,35,390,83,1,8,9,3,0,3,62,16,0,0,0,0,0,0,0,0,0,0,0,46,41,1,22.064691505484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
43,23,30.0,9.0,63,145,4,0,0,0,0,1,0,0,0,0,1,12,65,10,1,57,12,74,161,26,9,1,0,0,1,82,34,400,51,0,7,9,2,0,4,67,20,0,0,0,0,0,0,0,0,0,0,0,45,39,1,17.5116647298734,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
44,39,0.0,0.0,66,144,0,0,2,1,0,0,0,0,0,0,0,12,65,12,1,70,13,80,169,40,12,0,2,0,0,82,30,590,73,1,9,9,3,0,6,53,15,0,0,0,0,0,0,0,0,0,0,0,49,41,1,18.3258751689678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
45,31,0.0,0.0,62,145,0,0,0,0,0,0,0,0,0,0,0,12,45,9,1,70,13,76,156,37,12,0,1,0,0,83,34,530,88,1,8,9,0,3,8,65,20,0,0,0,0,0,0,0,0,0,0,0,49,39,1,22.160042571610003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
46,25,0.0,0.0,66,145,0,0,0,0,0,1,0,0,1,0,0,12,35,17,1,73,9,78,181,30,15,0,0,0,0,84,38,620,75,1,9,9,2,0,14,44,10,3,0,0,0,0,0,2,0,0,0,2,46,39,1,18.071247690358103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
47,38,4.0,22.0,66,204,0,0,0,1,0,0,0,0,0,0,0,12,95,13,1,60,11,84,215,39,10,0,0,0,0,82,33,710,57,1,9,9,3,0,4,49,15,0,0,0,0,0,0,0,0,0,0,0,47,40,1,17.058819306280302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
48,29,0.0,0.0,63,118,0,0,0,0,0,0,0,0,0,0,0,14,85,7,1,80,13,66,142,35,12,0,0,0,0,80,33,590,68,1,7,9,3,0,2,61,18,0,0,0,0,0,0,0,0,0,0,0,48,42,1,16.2015532941324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
49,29,0.0,0.0,64,148,0,0,0,0,0,0,1,0,0,1,0,12,55,13,1,80,11,60,162,35,12,0,0,0,0,79,31,560,98,0,9,9,2,0,2,57,16,0,0,0,0,0,0,0,0,0,0,0,46,41,1,19.0367423134634,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
50,23,10.0,6.0,63,110,0,0,0,0,0,0,1,0,2,0,0,10,45,20,1,60,14,80,109,27,12,1,1,0,0,49,16,390,52,1,8,9,3,0,9,61,20,0,0,0,0,0,0,0,0,0,0,0,45,38,1,15.421750741075801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
51,25,6.0,8.0,63,104,0,0,0,0,0,0,1,0,0,0,0,12,45,17,1,60,13,74,117,29,12,1,1,0,0,74,28,410,44,0,9,9,3,0,8,52,15,0,0,0,0,0,0,0,0,0,0,0,43,37,1,16.1700995837801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
52,21,20.0,4.0,66,160,0,0,0,0,0,0,0,0,0,0,0,12,55,8,1,57,13,70,168,31,12,0,0,0,0,84,31,540,57,0,9,9,2,0,2,54,16,0,0,0,0,0,0,0,0,0,0,0,44,42,1,16.3297607743805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
53,24,10.0,9.0,61,115,0,0,0,0,0,1,2,2,1,0,0,8,45,18,1,70,14,60,124,28,12,1,0,0,0,78,29,415,53,1,8,9,2,0,0,58,17,6,2,2,0,0,0,0,0,0,0,1,43,37,1,18.6339002084972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
54,42,10.0,18.0,63,119,0,0,0,0,0,1,1,0,2,0,0,12,55,12,1,73,14,68,137,41,12,0,2,0,0,87,33,550,66,0,9,9,3,0,4,57,16,0,0,0,0,0,0,0,0,0,0,0,46,41,1,18.8381202653286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
55,41,0.0,9.0,62,140,0,0,0,0,0,0,0,0,1,0,0,12,65,12,1,50,13,78,149,46,8,0,1,0,0,76,35,425,48,0,9,9,0,2,6,60,16,0,0,0,0,0,0,0,0,0,0,0,45,39,1,15.2564616623614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
56,42,0.0,0.0,64,210,2,1,0,0,0,0,0,0,2,0,0,8,65,11,1,70,14,88,276,42,12,0,0,0,0,82,38,390,58,1,8,9,3,0,8,56,18,0,0,0,0,0,0,0,0,0,0,0,48,40,1,17.1219995185337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0
57,23,2.0,8.0,64,157,1,1,0,0,0,0,2,0,0,0,0,13,35,12,1,43,11,70,160,26,10,0,0,0,0,82,38,350,49,0,8,9,2,1,5,65,19,4,0,0,0,0,0,0,0,0,0,2,46,40,1,13.4365025444153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
58,25,3.0,8.0,64,161,1,1,0,0,0,0,0,0,0,0,0,13,55,15,1,57,13,70,166,27,10,0,0,0,0,86,38,365,53,0,8,9,3,0,8,73,20,3,0,0,0,0,0,0,0,0,0,0,46,41,1,17.8577122605061,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
59,28,1.0,9.0,65,126,0,0,2,4,0,0,1,0,0,0,0,12,45,12,1,70,14,60,151,29,13,0,0,0,0,84,33,640,38,1,9,9,3,0,12,45,13,0,0,0,0,0,0,0,0,0,0,0,45,43,1,13.6939079351731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
60,30,0.0,0.0,58,115,1,0,0,1,0,1,2,0,2,0,0,15,5,6,1,40,13,68,129,32,11,1,1,0,0,80,35,395,63,0,10,10,0,3,7,60,20,0,0,0,0,0,0,0,0,0,0,0,44,37,1,14.019207003745501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
61,27,10.0,12.0,65,155,0,0,0,0,0,0,2,0,0,0,0,11,65,10,1,57,14,70,181,30,10,0,0,0,0,78,40,450,53,0,8,9,2,0,6,66,18,0,0,0,0,0,0,0,0,0,0,0,44,41,1,16.7850474055554,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
62,38,0.0,0.0,64,150,1,0,0,0,0,0,0,0,0,0,1,8,85,12,1,50,11,90,177,38,8,1,1,0,0,80,35,675,67,1,8,9,0,2,6,69,19,0,0,0,0,0,0,0,0,0,0,0,47,42,1,16.1125699566574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0
63,29,0.0,12.0,67,194,0,0,0,0,0,0,0,0,1,0,0,16,55,8,1,73,11,66,206,31,12,1,0,1,0,84,35,400,54,1,8,9,2,2,8,58,18,0,0,0,0,0,0,0,0,0,0,0,48,38,1,14.8202679129813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
64,22,30.0,6.0,61,97,0,0,0,0,0,0,0,2,0,0,0,11,45,10,1,47,12,68,133,23,9,1,0,0,0,78,39,370,63,0,9,9,3,0,3,72,22,0,0,0,0,0,0,0,0,0,0,0,44,40,1,20.450747357522303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
65,27,0.0,0.0,65,202,0,0,0,1,0,1,0,1,0,0,0,12,35,10,1,43,13,80,213,39,12,0,0,0,0,82,35,650,56,0,9,9,3,0,0,54,15,0,0,0,0,0,0,0,0,0,0,0,46,40,1,14.2616073570681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
66,26,0.0,0.0,61,120,0,0,0,0,0,0,0,0,0,0,0,12,35,17,1,43,15,70,134,29,10,0,0,0,0,76,26,475,71,1,9,9,3,0,3,64,16,0,0,0,0,0,0,0,0,0,0,0,46,41,1,16.273277779462,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
67,27,0.0,12.0,64,115,0,0,1,0,0,0,0,0,1,0,0,14,55,10,1,77,11,82,147,28,13,0,0,0,0,77,38,500,58,1,8,9,1,2,7,61,17,0,0,0,0,0,0,0,0,0,0,0,46,39,1,13.690233898963001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
68,23,0.5,6.0,60,92,0,0,0,0,0,0,0,0,1,0,0,9,45,17,1,70,12,56,121,24,12,0,1,0,0,85,34,400,53,0,8,8,2,0,3,53,16,0,0,0,0,0,0,0,0,0,0,0,44,50,1,15.994545630657198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
69,24,0.0,0.0,63,100,1,1,0,0,0,1,0,0,0,0,0,11,45,10,1,30,15,70,123,27,9,0,0,0,0,78,34,320,71,0,8,9,3,0,9,61,16,0,0,0,0,0,0,0,0,0,0,0,44,42,1,10.8811654360519,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
70,22,5.0,6.0,66,130,0,0,0,0,0,0,0,0,0,0,0,12,55,10,1,57,13,70,157,25,10,0,0,0,0,83,35,390,66,0,9,9,2,0,4,58,19,0,0,0,0,0,0,0,0,0,0,0,46,40,1,19.8184871579105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
